Date,Admission_Total,Mortality,U60_Mortality,O2_saturation,ICU_ADD,Non_invasive_ventialion ,Inutabet_C19_Pt,Non-intubated_C19_PT,Free_Ventilators,Using_Ventialtors,Infected_paramedics
10/23/2020,186,9,4,75.3,12,20,16,21,19,27,25
10/24/2020,181,7,2,76,14,15,17,21,18,38,25
10/25/2020,201,8,4,75,17,23,17,20,18,37,25
10/26/2020,198,8,2,76,11,0,14,18,24,32,25
10/27/2020,208,8,1,75.2,7,20,12,34,9,20,25
10/28/2020,212,6,3,76,15,17,19,17,20,36,25
10/29/2020,213,6,2,75.6,13,20,13,17,9,20,29
10/30/2020,205,3,0,75,23,22,12,17,28,29,30
10/31/2020,205,5,0,75,31,21,14,16,27,30,30
11/1/2020,213,7,3,76,23,21,22,14,16,36,30
11/2/2020,188,11,0,75.1,14,21,21,23,9,44,23
11/3/2020,193,4,0,76,17,21,19,21,13,40,15
11/4/2020,207,7,1,76,10,23,16,19,10,35,15
11/5/2020,203,9,2,75.1,8,22,15,20,20,35,15
11/6/2020,206,8,2,75.2,7,23,18,15,22,23,15
11/7/2020,205,3,3,75,8,21,18,24,14,42,15
11/8/2020,209,6,3,77,13,21,20,14,214,34,15
11/9/2020,206,10,0,75,13,22,17,15,23,32,12
11/10/2020,201,7,2,75,13,23,17,19,17,36,12
11/11/2020,197,5,1,75.1,11,23,18,15,21,33,12
11/12/2020,192,6,0,76.1,9,20,14,15,25,29,12
11/13/2020,182,7,0,75.2,7,23,13,23,28,36,12
11/14/2020,184,4,0,75.2,9,22,13,20,22,33,12
11/15/2020,196,9,2,75.1,9,26,16,15,24,31,12
11/16/2020,202,6,0,75.2,9,22,16,13,25,29,11
11/17/2020,199,5,0,75.2,11,23,12,14,28,26,13
11/18/2020,189,10,2,76.3,8,20,15,20,18,35,13
11/19/2020,186,11,1,77.2,7,19,13,18,22,31,13
11/20/2020,189,9,2,75.4,8,22,16,16,21,32,13
11/21/2020,185,3,2,77.2,9,21,15,16,22,31,13
11/22/2020,187,5,1,75.3,10,19,16,16,21,32,13
11/23/2020,173,6,3,75.1,11,23,18,18,17,36,13
11/24/2020,167,3,0,76.7,9,18,16,17,20,33,13
11/25/2020,152,5,2,76.8,9,23,17,18,20,35,4
11/26/2020,146,3,1,77,7,19,18,15,23,33,4
11/27/2020,140,7,3,75.5,13,21,20,18,17,38,4
11/28/2020,125,6,0,75.5,11,23,17,17,21,34,13
11/29/2020,130,5,2,78,10,22,17,17,19,34,13
11/30/2020,112,3,2,79,4,25,13,21,21,34,4
12/1/2020,109,6,0,77.2,2,19,11,17,20,28,7
12/2/2020,98,2,0,80,1,14,10,19,26,29,7
12/3/2020,106,3,1,79.3,0,18,8,18,29,26,7
12/4/2020,100,3,0,82,0,21,9,23,23,32,4
12/5/2020,100,1,0,77,0,17,9,23,22,32,4
12/6/2020,102,4,0,78.3,1,17,10,22,23,32,0
12/7/2020,90,4,2,80.2,0,22,9,24,22,33,0
12/8/2020,77,5,2,81,0,19,8,21,26,29,0
12/9/2020,71,2,1,85.6,0,15,11,18,26,29,1
12/10/2020,61,3,1,85.7,0,22,10,18,27,28,1
12/11/2020,52,1,0,87.1,0,8,9,20,26,29,1
12/12/2020,47,1,0,86.1,0,18,8,0,24,30,1
12/13/2020,55,1,0,86.6,0,18,7,22,25,29,1
12/14/2020,63,1,0,87,0,14,8,23,23,31,3
12/15/2020,56,3,1,86,0,11,11,23,22,34,2
12/16/2020,61,2,0,87.1,0,11,9,23,24,32,2
12/17/2020,54,1,1,87.3,0,13,8,21,27,29,2
12/18/2020,50,2,0,86.2,0,17,6,21,30,27,2
12/19/2020,51,2,0,87.2,0,13,9,25,23,34,2
12/20/2020,47,1,0,88,0,9,9,26,22,35,2
12/21/2020,44,2,0,86.2,0,6,10,25,22,35,1
12/22/2020,39,3,1,86.2,0,7,10,25,22,35,1
12/23/2020,39,3,1,89.2,0,9,5,23,29,28,1
12/24/2020,33,2,1,88.2,0,4,7,28,22,35,1
12/25/2020,29,3,1,87.5,0,4,7,21,29,28,1
12/26/2020,31,0,0,88.6,0,2,6,22,31,28,1
12/27/2020,33,1,1,87.5,0,6,5,27,26,32,1
12/28/2020,25,3,0,88.5,0,6,3,34,19,37,1
12/29/2020,24,2,1,88.2,0,9,3,24,25,33,2
12/30/2020,22,1,0,88.4,0,9,3,28,27,31,2
12/31/2020,22,2,0,88.5,0,7,3,29,26,32,2
1/1/2021,20,2,1,88.2,0,7,3,19,36,22,2
1/2/2021,24,0,0,89.4,0,12,3,29,26,32,1
1/3/2021,25,1,0,89.2,0,11,4,35,19,39,1
1/4/2021,26,1,0,88.4,0,15,4,31,19,35,1
1/5/2021,30,1,0,88.5,0,10,4,22,30,26,2
1/6/2021,32,0,0,88.4,0,18,3,23,29,26,2
1/7/2021,35,0,0,88.5,0,7,3,24,28,27,2
1/8/2021,32,1,0,88.9,0,8,3,22,29,25,2
1/9/2021,31,2,1,88.5,0,5,12,26,26,28,2
1/10/2021,27,0,0,88.4,0,7,3,27,24,30,1
1/11/2021,25,0,0,88.5,0,5,4,27,23,31,1
1/12/2021,24,3,1,88.5,0,7,3,25,26,28,1
1/13/2021,21,3,1,88.6,0,5,2,25,27,27,1
1/14/2021,22,0,0,88.6,0,3,2,24,28,26,0
1/15/2021,22,0,0,88.5,0,8,2,14,32,22,0
1/16/2021,24,0,0,89.1,0,3,2,24,28,26,2
1/17/2021,25,1,0,88.5,0,5,2,22,30,24,2
1/18/2021,28,0,0,91,0,6,1,22,31,23,1
1/19/2021,22,1,0,88.6,0,3,1,21,32,22,1
1/20/2021,22,0,0,88.5,0,6,1,21,34,22,1
1/21/2021,22,0,0,91,0,2,2,22,31,24,1
1/22/2021,20,0,0,90.3,0,4,2,25,28,27,1
1/23/2021,20,0,0,88.5,0,24,2,28,25,30,2
1/24/2021,24,2,0,91,0,3,2,27,24,29,2
1/25/2021,21,1,0,91.8,0,7,2,28,24,30,2
1/26/2021,25,2,0,91.8,0,3,1,31,22,32,1
1/27/2021,21,2,0,91,0,0,0,34,20,34,0
1/28/2021,18,18,0,90.9,0,5,1,15,38,16,0
1/29/2021,18,1,1,88.7,0,2,1,34,19,35,0
1/30/2021,19,0,0,91.8,0,2,1,34,19,35,1
1/31/2021,19,0,0,92.2,0,2,0,33,23,33,1
2/1/2021,19,0,0,92.2,0,2,0,33,23,33,1
2/2/2021,17,0,0,91.8,0,3,0,34,23,34,1
2/3/2021,16,0,0,92,0,2,0,41,16,41,1
2/4/2021,16,0,0,91,0,3,0,34,19,38,1
2/5/2021,12,3,1,92.7,0,3,0,38,19,38,1
2/6/2021,19,0,0,91.8,0,3,0,33,23,33,2
2/7/2021,18,0,0,92.3,0,3,1,36,18,37,1
2/8/2021,18,0,0,92,0,2,2,34,19,36,1
2/9/2021,18,0,0,91.8,0,3,2,39,14,41,1
2/10/2021,17,1,0,91.2,0,2,1,34,20,35,1
2/11/2021,21,0,0,91,0,0,1,35,19,36,1
2/12/2021,19,1,0,91.8,0,3,0,34,21,34,0
2/13/2021,22,0,0,91.8,0,3,1,29,28,30,0
2/14/2021,23,1,1,91.7,0,2,1,30,25,31,0
2/15/2021,22,0,0,92.5,0,8,2,27,26,29,0
2/16/2021,26,0,0,92.4,0,2,0,28,27,28,0
2/17/2021,24,2,0,91.8,0,4,2,23,30,25,0
2/18/2021,24,3,0,92.7,0,4,1,24,31,25,0
2/19/2021,24,0,0,92.6,0,3,2,21,33,23,1
2/20/2021,24,0,0,93.3,0,3,2,24,29,26,1
2/21/2021,26,0,0,93.1,0,3,2,26,27,28,2
2/22/2021,26,1,0,91.4,0,5,1,19,34,20,2
2/23/2021,24,0,0,91.3,0,4,1,23,32,24,0
2/24/2021,30,0,0,91.4,0,6,2,20,34,22,0
2/25/2021,30,1,0,91.7,0,5,2,20,33,22,2
2/26/2021,31,0,0,89.2,0,7,2,23,30,25,2
2/27/2021,36,1,0,90.2,0,7,2,27,28,29,1
2/28/2021,33,2,0,90,0,5,2,28,28,30,1
3/1/2021,31,2,1,89,0,7,1,22,34,23,3
3/2/2021,31,0,0,90.3,0,8,1,26,30,27,5
3/3/2021,33,0,0,87,0,6,2,27,28,29,5
3/4/2021,35,1,1,90,0,8,2,26,32,28,4
3/5/2021,34,0,0,90,0,6,2,25,30,27,7
3/6/2021,36,0,0,90.1,0,6,1,25,31,26,7
3/7/2021,43,1,0,90,0,8,0,28,28,28,7
3/8/2021,42,0,0,90,0,6,2,27,26,29,7
3/9/2021,38,0,0,88.7,0,8,2,21,32,23,7
3/10/2021,40,0,0,89,0,5,2,25,28,27,8
3/11/2021,39,0,0,90,0,5,2,22,31,26,8
3/12/2021,39,0,0,90.3,0,9,5,25,25,30,8
3/13/2021,40,2,1,90.1,0,8,5,24,26,29,8
3/14/2021,36,1,0,89.3,0,8,5,30,20,35,10
3/15/2021,34,1,0,89.4,0,9,5,29,21,34,10
3/16/2021,34,4,1,89.6,0,6,2,28,25,30,10
3/17/2021,36,0,0,88.6,0,6,3,24,28,27,10
3/18/2021,42,1,0,88.7,0,5,2,25,28,27,9
3/19/2021,46,0,0,86,0,9,3,23,30,26,9
3/20/2021,40,2,0,89.7,0,9,1,34,20,35,9
3/21/2021,61,0,0,87.3,0,15,10,27,17,37,3
3/22/2021,44,0,0,90,0,8,2,24,31,26,6
3/23/2021,40,1,0,89.9,0,8,1,24,30,25,6
3/24/2021,48,0,0,90.1,0,11,1,24,30,25,2
3/25/2021,48,2,0,90,0,12,1,29,25,30,2
3/26/2021,48,2,1,88.3,0,8,0,27,27,28,1
3/27/2021,56,0,0,89.2,0,12,0,24,31,24,1
3/28/2021,51,1,0,89.4,0,0,1,26,49,27,0
3/29/2021,58,0,0,88.5,0,6,1,23,32,24,0
3/30/2021,55,3,1,88.4,0,12,2,25,28,27,1
3/31/2021,70,3,0,87,0,11,1,22,32,23,2
4/1/2021,79,1,1,87.7,0,12,1,31,23,32,2
4/2/2021,95,0,0,88.7,0,13,4,30,20,34,2
4/3/2021,105,5,0,83,0,12,2,27,25,29,2
4/4/2021,124,2,0,80,0,12,3,27,25,30,1
4/5/2021,132,1,0,80,10,12,5,34,13,39,1
4/6/2021,127,3,0,80.1,10,12,4,34,18,36,1
4/7/2021,126,2,0,80,5,14,4,30,20,34,2
4/8/2021,134,2,0,80,6,16,7,30,17,37,3
4/9/2021,138,2,0,78,4,18,6,30,18,36,3
4/10/2021,131,7,1,80.3,5,16,9,19,26,28,3
4/11/2021,148,3,2,79,5,17,7,23,24,30,3
4/12/2021,146,5,0,78,6,16,8,21,18,29,3
4/13/2021,148,3,1,75,4,16,8,24,20,32,3
4/14/2021,172,2,0,75,2,17,13,24,18,35,3
4/15/2021,183,2,1,75,3,17,19,11,23,30,3
4/16/2021,210,7,0,71,9,17,17,18,21,35,3
4/17/2021,195,10,0,73.8,8,17,14,15,27,29,4
4/18/2021,207,3,0,70,7,17,14,16,26,30,4
4/19/2021,209,7,1,69.5,11,21,13,16,20,36,4
4/20/2021,228,7,1,68,15,21,17,22,28,39,7
4/21/2021,221,12,0,67,3,20,11,17,28,28,7
4/22/2021,212,9,2,65,11,24,11,17,25,32,11
4/23/2021,232,8,1,66.5,14,27,9,14,33,23,6
4/24/2021,230,7,2,63.5,8,24,13,25,18,38,7
4/25/2021,227,7,0,65,9,34,14,14,24,35,9
4/26/2021,231,9,2,64.5,7,25,10,13,34,23,8
4/27/2021,209,9,2,64,4,25,10,20,26,30,6
4/28/2021,200,3,2,64,8,35,9,11,35,20,6
4/29/2021,201,10,3,64,11,33,13,9,37,22,6
4/30/2021,189,9,3,65,17,33,11,9,39,20,6
5/1/2021,193,5,0,65.3,16,27,13,16,31,29,6
5/2/2021,206,4,0,75,13,27,16,6,22,35,6
5/3/2021,207,8,3,75,16,27,12,21,23,33,5
5/4/2021,211,4,0,78,11,22,16,21,24,33,6
5/5/2021,226,6,0,80,8,20,12,16,28,28,6
5/6/2021,218,4,3,77,8,20,8,16,28,28,4
5/7/2021,204,3,1,77.5,8,23,7,22,27,29,5
5/8/2021,177,6,2,76,8,26,10,20,26,30,5
5/9/2021,180,1,0,77,5,26,13,22,21,35,5
5/10/2021,175,1,1,77,12,22,16,19,21,35,2
5/11/2021,175,6,0,79.3,10,22,12,22,22,34,1
5/12/2021,181,4,2,78,9,22,10,26,20,36,1
5/13/2021,178,3,1,78,7,22,14,25,17,39,1
5/14/2021,170,7,1,78,5,25,13,23,20,36,1
5/15/2021,172,3,0,78,2,22,12,29,15,41,1
5/16/2021,173,4,0,77.7,2,20,13,24,19,37,0
5/17/2021,163,8,2,78,0,31,7,27,20,34,0
5/18/2021,156,5,0,77.8,5,24,8,25,21,33,2
5/19/2021,149,3,1,78.1,3,22,7,28,21,35,2
5/20/2021,143,1,0,79,3,27,7,25,24,32,2
5/21/2021,118,1,0,89,7,27,9,28,19,37,2
5/22/2021,114,4,0,81,4,31,11,27,18,38,5
5/23/2021,128,3,0,80.3,6,17,10,27,21,35,5
5/24/2021,116,4,0,82,4,20,9,31,16,40,5
5/25/2021,117,4,1,81,5,12,6,28,22,34,2
5/26/2021,113,2,1,81.8,1,12,5,24,26,29,1
5/27/2021,104,2,0,82,0,12,6,3,26,29,1
5/28/2021,93,0,0,84,1,8,4,21,29,25,1
5/29/2021,83,1,0,81,0,12,6,22,24,28,1
5/30/2021,90,1,0,84,1,14,7,21,27,28,1
5/31/2021,95,2,0,80,1,13,7,21,27,28,0
6/1/2021,85,3,3,80,2,13,5,26,20,31,0
6/2/2021,82,0,0,79.5,1,8,8,28,25,36,0
6/3/2021,79,6,2,79.5,1,5,5,30,17,35,0
6/4/2021,73,2,0,80,1,2,6,30,18,34,0
6/5/2021,70,2,0,83,2,4,5,27,19,32,0
6/6/2021,72,1,0,85,2,4,5,28,19,33,0
6/7/2021,68,3,0,85,2,3,4,26,21,30,0
6/8/2021,68,1,0,85,0,4,5,32,14,37,0
6/9/2021,69,2,2,86,1,4,7,23,31,30,0
6/10/2021,69,2,0,87,1,3,7,20,25,27,0
6/11/2021,76,2,0,86.5,3,5,4,31,16,35,0
6/12/2021,74,1,0,86.5,2,3,5,25,21,30,0
6/13/2021,80,1,1,87,2,4,5,26,17,31,0
6/14/2021,72,1,1,86,0,4,4,26,19,29,1
6/15/2021,76,1,0,86.5,2,4,5,24,20,29,1
6/16/2021,69,1,0,87,2,3,4,23,22,27,1
6/17/2021,69,2,0,87.2,2,3,6,28,15,34,1
6/18/2021,79,3,0,70,2,10,4,24,21,28,1
6/19/2021,74,2,0,71,1,7,2,28,21,30,1
6/20/2021,78,0,0,75,0,2,2,29,18,31,1
6/21/2021,83,1,0,77.5,0,3,2,30,18,33,1
6/22/2021,77,0,0,77,2,2,5,32,14,37,1
6/23/2021,80,2,0,84,2,5,3,31,18,34,2
6/24/2021,94,1,0,82,3,3,3,27,23,30,1
6/25/2021,92,0,0,82,5,8,4,24,25,28,2
6/26/2021,87,4,1,83,6,4,5,15,32,20,1
6/27/2021,97,0,0,82.2,6,3,7,27,20,34,1
6/28/2021,87,4,1,82,1,5,7,27,20,34,2
6/29/2021,93,2,2,82,3,6,7,24,22,31,2
6/30/2021,98,1,1,81,5,5,5,25,25,30,2
7/1/2021,109,0,0,81,4,5,3,32,18,35,2
7/2/2021,129,0,0,79.5,6,11,4,30,21,34,2
